Iteração 1: x = [1.00000021e+00 1.02651551e-07], f(x) = 1.2499997433711354, grad_norm = 1.118033988749895, alpha = 2.0530310231465696e-07
Iteração 2: x = [1.00000041e+00 2.05303092e-07], f(x) = 1.2499994867423234, grad_norm = 1.1180338739819717, alpha = 2.0530310231465696e-07
Iteração 3: x = [1.00000062e+00 3.07954622e-07], f(x) = 1.249999230113564, grad_norm = 1.1180337592140603, alpha = 2.0530310231465696e-07
Iteração 4: x = [1.00000082e+00 4.10606141e-07], f(x) = 1.2499989734848576, grad_norm = 1.1180336444461607, alpha = 2.0530310231465696e-07
Iteração 5: x = [1.00000103e+00 5.13257650e-07], f(x) = 1.2499987168562037, grad_norm = 1.1180335296782729, alpha = 2.0530310231465696e-07
Iteração 6: x = [1.00000123e+00 6.15909149e-07], f(x) = 1.2499984602276022, grad_norm = 1.118033414910397, alpha = 2.0530310231465696e-07
Iteração 7: x = [1.00000144e+00 7.18560637e-07], f(x) = 1.2499982035990536, grad_norm = 1.1180333001425324, alpha = 2.0530310231465696e-07
Iteração 8: x = [1.00000164e+00 8.21212114e-07], f(x) = 1.2499979469705575, grad_norm = 1.1180331853746799, alpha = 2.0530310231465696e-07
Iteração 9: x = [1.00000185e+00 9.23863581e-07], f(x) = 1.2499976903421142, grad_norm = 1.1180330706068393, alpha = 2.0530310231465696e-07
Iteração 10: x = [1.00000205e+00 1.02651504e-06], f(x) = 1.2499974337137236, grad_norm = 1.1180329558390103, alpha = 2.0530310231465696e-07
Iteração 11: x = [1.00000226e+00 1.12916648e-06], f(x) = 1.2499971770853857, grad_norm = 1.118032841071193, alpha = 2.0530310231465696e-07
Iteração 12: x = [1.00000246e+00 1.23181792e-06], f(x) = 1.2499969204571006, grad_norm = 1.1180327263033876, alpha = 2.0530310231465696e-07
Iteração 13: x = [1.00000267e+00 1.33446934e-06], f(x) = 1.2499966638288682, grad_norm = 1.118032611535594, alpha = 2.0530310231465696e-07
Iteração 14: x = [1.00000287e+00 1.43712076e-06], f(x) = 1.2499964072006884, grad_norm = 1.1180324967678124, alpha = 2.0530310231465696e-07
Iteração 15: x = [1.00000308e+00 1.53977216e-06], f(x) = 1.2499961505725614, grad_norm = 1.1180323820000422, alpha = 2.0530310231465696e-07
Iteração 16: x = [1.00000328e+00 1.64242355e-06], f(x) = 1.249995893944487, grad_norm = 1.118032267232284, alpha = 2.0530310231465696e-07
Iteração 17: x = [1.00000349e+00 1.74507494e-06], f(x) = 1.2499956373164656, grad_norm = 1.1180321524645376, alpha = 2.0530310231465696e-07
Iteração 18: x = [1.00000370e+00 1.84772631e-06], f(x) = 1.2499953806884962, grad_norm = 1.118032037696803, alpha = 2.0530310231465696e-07
Iteração 19: x = [1.00000390e+00 1.95037767e-06], f(x) = 1.2499951240605798, grad_norm = 1.11803192292908, alpha = 2.0530310231465696e-07
Iteração 20: x = [1.00000411e+00 2.05302902e-06], f(x) = 1.2499948674327162, grad_norm = 1.1180318081613687, alpha = 2.0530310231465696e-07
Iteração 21: x = [1.00000431e+00 2.15568036e-06], f(x) = 1.2499946108049051, grad_norm = 1.1180316933936694, alpha = 2.0530310231465696e-07
Iteração 22: x = [1.00000452e+00 2.25833169e-06], f(x) = 1.2499943541771468, grad_norm = 1.1180315786259818, alpha = 2.0530310231465696e-07
Iteração 23: x = [1.00000472e+00 2.36098301e-06], f(x) = 1.249994097549441, grad_norm = 1.118031463858306, alpha = 2.0530310231465696e-07
Iteração 24: x = [1.00000493e+00 2.46363432e-06], f(x) = 1.2499938409217883, grad_norm = 1.118031349090642, alpha = 2.0530310231465696e-07
Iteração 25: x = [1.00000513e+00 2.56628562e-06], f(x) = 1.249993584294188, grad_norm = 1.11803123432299, alpha = 2.0530310231465696e-07
Iteração 26: x = [1.00000534e+00 2.66893691e-06], f(x) = 1.2499933276666404, grad_norm = 1.1180311195553494, alpha = 2.0530310231465696e-07
Iteração 27: x = [1.00000554e+00 2.77158818e-06], f(x) = 1.2499930710391458, grad_norm = 1.1180310047877207, alpha = 2.0530310231465696e-07
Iteração 28: x = [1.00000575e+00 2.87423945e-06], f(x) = 1.2499928144117036, grad_norm = 1.118030890020104, alpha = 2.0530310231465696e-07
Iteração 29: x = [1.00000595e+00 2.97689071e-06], f(x) = 1.249992557784314, grad_norm = 1.118030775252499, alpha = 2.0530310231465696e-07
Iteração 30: x = [1.00000616e+00 3.07954195e-06], f(x) = 1.2499923011569771, grad_norm = 1.1180306604849055, alpha = 2.0530310231465696e-07
Iteração 31: x = [1.00000636e+00 3.18219319e-06], f(x) = 1.249992044529693, grad_norm = 1.1180305457173239, alpha = 2.0530310231465696e-07
Iteração 32: x = [1.00000657e+00 3.28484441e-06], f(x) = 1.2499917879024616, grad_norm = 1.1180304309497542, alpha = 2.0530310231465696e-07
Iteração 33: x = [1.00000677e+00 3.38749562e-06], f(x) = 1.2499915312752827, grad_norm = 1.1180303161821963, alpha = 2.0530310231465696e-07
Iteração 34: x = [1.00000698e+00 3.49014683e-06], f(x) = 1.2499912746481567, grad_norm = 1.11803020141465, alpha = 2.0530310231465696e-07
Iteração 35: x = [1.00000719e+00 3.59279802e-06], f(x) = 1.2499910180210834, grad_norm = 1.1180300866471156, alpha = 2.0530310231465696e-07
Iteração 36: x = [1.00000739e+00 3.69544920e-06], f(x) = 1.2499907613940626, grad_norm = 1.118029971879593, alpha = 2.0530310231465696e-07
Iteração 37: x = [1.00000760e+00 3.79810037e-06], f(x) = 1.2499905047670947, grad_norm = 1.1180298571120821, alpha = 2.0530310231465696e-07
Iteração 38: x = [1.00000780e+00 3.90075154e-06], f(x) = 1.2499902481401794, grad_norm = 1.118029742344583, alpha = 2.0530310231465696e-07
Iteração 39: x = [1.00000801e+00 4.00340269e-06], f(x) = 1.2499899915133168, grad_norm = 1.1180296275770958, alpha = 2.0530310231465696e-07
Iteração 40: x = [1.00000821e+00 4.10605383e-06], f(x) = 1.2499897348865068, grad_norm = 1.1180295128096203, alpha = 2.0530310231465696e-07
Iteração 41: x = [1.00000842e+00 4.20870496e-06], f(x) = 1.2499894782597494, grad_norm = 1.1180293980421565, alpha = 2.0530310231465696e-07
Iteração 42: x = [1.00000862e+00 4.31135608e-06], f(x) = 1.249989221633045, grad_norm = 1.1180292832747045, alpha = 2.0530310231465696e-07
Iteração 43: x = [1.00000883e+00 4.41400718e-06], f(x) = 1.249988965006393, grad_norm = 1.1180291685072643, alpha = 2.0530310231465696e-07
Iteração 44: x = [1.00000903e+00 4.51665828e-06], f(x) = 1.2499887083797938, grad_norm = 1.1180290537398359, alpha = 2.0530310231465696e-07
Iteração 45: x = [1.00000924e+00 4.61930937e-06], f(x) = 1.2499884517532474, grad_norm = 1.1180289389724194, alpha = 2.0530310231465696e-07
Iteração 46: x = [1.00000944e+00 4.72196045e-06], f(x) = 1.2499881951267535, grad_norm = 1.1180288242050145, alpha = 2.0530310231465696e-07
Iteração 47: x = [1.00000965e+00 4.82461151e-06], f(x) = 1.2499879385003123, grad_norm = 1.1180287094376216, alpha = 2.0530310231465696e-07
Iteração 48: x = [1.00000985e+00 4.92726257e-06], f(x) = 1.249987681873924, grad_norm = 1.1180285946702402, alpha = 2.0530310231465696e-07
Iteração 49: x = [1.00001006e+00 5.02991361e-06], f(x) = 1.2499874252475882, grad_norm = 1.1180284799028708, alpha = 2.0530310231465696e-07
Iteração 50: x = [1.00001027e+00 5.13256465e-06], f(x) = 1.2499871686213053, grad_norm = 1.1180283651355132, alpha = 2.0530310231465696e-07
Iteração 51: x = [1.00001047e+00 5.23521567e-06], f(x) = 1.2499869119950748, grad_norm = 1.1180282503681673, alpha = 2.0530310231465696e-07
Iteração 52: x = [1.00001068e+00 5.33786669e-06], f(x) = 1.2499866553688972, grad_norm = 1.118028135600833, alpha = 2.0530310231465696e-07
Iteração 53: x = [1.00001088e+00 5.44051769e-06], f(x) = 1.249986398742772, grad_norm = 1.1180280208335107, alpha = 2.0530310231465696e-07
Iteração 54: x = [1.00001109e+00 5.54316868e-06], f(x) = 1.2499861421166996, grad_norm = 1.1180279060662002, alpha = 2.0530310231465696e-07
Iteração 55: x = [1.00001129e+00 5.64581967e-06], f(x) = 1.2499858854906798, grad_norm = 1.1180277912989012, alpha = 2.0530310231465696e-07
Iteração 56: x = [1.00001150e+00 5.74847064e-06], f(x) = 1.2499856288647129, grad_norm = 1.1180276765316142, alpha = 2.0530310231465696e-07
Iteração 57: x = [1.0000117e+00 5.8511216e-06], f(x) = 1.2499853722387986, grad_norm = 1.118027561764339, alpha = 2.0530310231465696e-07
Iteração 58: x = [1.00001191e+00 5.95377255e-06], f(x) = 1.2499851156129371, grad_norm = 1.1180274469970755, alpha = 2.0530310231465696e-07
Iteração 59: x = [1.00001211e+00 6.05642349e-06], f(x) = 1.249984858987128, grad_norm = 1.118027332229824, alpha = 2.0530310231465696e-07
Iteração 60: x = [1.00001232e+00 6.15907442e-06], f(x) = 1.249984602361372, grad_norm = 1.118027217462584, alpha = 2.0530310231465696e-07
Iteração 61: x = [1.00001252e+00 6.26172534e-06], f(x) = 1.2499843457356685, grad_norm = 1.118027102695356, alpha = 2.0530310231465696e-07
Iteração 62: x = [1.00001273e+00 6.36437625e-06], f(x) = 1.2499840891100178, grad_norm = 1.1180269879281397, alpha = 2.0530310231465696e-07
Iteração 63: x = [1.00001293e+00 6.46702714e-06], f(x) = 1.2499838324844195, grad_norm = 1.118026873160935, alpha = 2.0530310231465696e-07
Iteração 64: x = [1.00001314e+00 6.56967803e-06], f(x) = 1.249983575858874, grad_norm = 1.1180267583937422, alpha = 2.0530310231465696e-07
Iteração 65: x = [1.00001334e+00 6.67232891e-06], f(x) = 1.2499833192333811, grad_norm = 1.1180266436265613, alpha = 2.0530310231465696e-07
Iteração 66: x = [1.00001355e+00 6.77497977e-06], f(x) = 1.2499830626079411, grad_norm = 1.118026528859392, alpha = 2.0530310231465696e-07
Iteração 67: x = [1.00001376e+00 6.87763063e-06], f(x) = 1.2499828059825535, grad_norm = 1.1180264140922347, alpha = 2.0530310231465696e-07
Iteração 68: x = [1.00001396e+00 6.98028147e-06], f(x) = 1.249982549357219, grad_norm = 1.118026299325089, alpha = 2.0530310231465696e-07
Iteração 69: x = [1.00001417e+00 7.08293231e-06], f(x) = 1.2499822927319368, grad_norm = 1.1180261845579553, alpha = 2.0530310231465696e-07
